_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
B07KVX2G29,2024.0,256.0,motorola,6.67,amoled,2.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,13.902439024390246,184.0,184.0
B08778JXCT,2024.0,256.0,samsung,6.1,superamoled,2.9,4.0,2.57,254.42,1080.0,2340.0,3500.0,194.39024390243904,299.0,198.99
B0D2L33VQ8,2024.0,256.0,realme,6.78,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5500.0,108.4090909090909,199.99,313.22
B0B427JFKT,2024.0,128.0,doogee,6.0,lcd,2.0,4.0,2.57,254.42,1080.0,2400.0,4200.0,78.46153846153847,89.99,89.99
B09VNPFZGS,2024.0,256.0,xiaomi,6.67,amoled,2.5,6.0,0.81,202.0,1080.0,2400.0,4500.0,63.86363636363636,340.41,245.49
B0CN12K224,2024.0,256.0,samsung,6.5,amoled,3.1,8.0,3.0,197.0,1080.0,2400.0,5000.0,166.046511627907,343.02,234.99
B0D2DBNX7T,2024.0,256.0,xiaomi,6.79,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,73.80952380952381,199.99,199.9
B0CV7R71NY,2024.0,256.0,samsung,6.67,lcd,2.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,12.954545454545451,199.99,187.0
B0D5YM61M2,2024.0,256.0,doogee,6.56,lcd,1.4,16.0,1.07,240.0,1080.0,2400.0,5150.0,5.227272727272727,209.99,149.99
B08VNWR1MR,2024.0,256.0,samsung,6.5,lcd,3.0,3.0,0.89,205.0,1080.0,2400.0,5000.0,16.666666666666664,499.99,199.99
B0CPLLJ367,2024.0,256.0,honor,6.78,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5200.0,45.22727272727273,499.99,229.0
B0D3F7HQSS,2024.0,128.0,umidigi,6.75,lcd,2.0,12.0,0.79,189.0,1080.0,2400.0,5000.0,160.5263157894737,149.99,127.49
B0DKP7RCTJ,2024.0,128.0,xiaomi,6.67,lcd,3.0,6.0,2.57,254.42,1080.0,2400.0,5500.0,44.77272727272727,229.9,199.99
