_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,mahalanobis
B00IRZ8EQC,2013.0,256.0,samsung,4.3,lcd,1.7,1.0,1.27,77.11,540.0,960.0,5000.0,279.4594594594594,199.99,245.0,6.604591700880634
B00J8OA220,2024.0,160.0,inmarsat,2.0,lcd,2.9,2.0,10.16,318.0,240.0,320.0,160.0,0.8,199.99,933.0,7.410017562005831
B00TUXHZTW,2015.0,128.0,doro,2.0,lcd,1.2,12.0,1.9,74.0,3840.0,2160.0,800.0,74.0,48.67,48.67,7.972797777802651
B00XAD2IC2,1990.0,256.0,thuraya,6.7,lcd,1.0,16.0,3.0,212.0,1080.0,2400.0,1.0,1.3636363636363635,199.99,1085.0,18.81313239429495
B00XHYJ2XW,2024.0,256.0,thuraya,6.1,lcd,2.7,32.0,2.57,254.42,1080.0,2400.0,5000.0,182.72727272727272,499.99,1335.0,6.603610349759185
B07NS5QPJM,2018.0,64.0,samsung,5.8,amoled,34.5,4.0,8.51,199.58,2960.0,1440.0,3000.0,25.897435897435894,1299.0,84.89,8.180668708779706
B07PNL5STG,2024.0,64.0,iniu,1.8,lcd,0.0,32.0,1.27,198.0,1080.0,2400.0,800.0,13566.956521739132,26.99,17.99,21.34343342046856
B082DN7RVM,2024.0,64.0,apple,6.1,lcd,3.0,12.0,6.3,188.0,1080.0,2400.0,3.0,474.72222222222223,1299.0,205.99,6.600307451702633
B084XRF3MG,2024.0,128.0,sveon,2.4,lcd,0.9,12.0,2.57,254.42,3840.0,2160.0,800.0,4.4,199.99,33.5,6.370013853633781
B08HGZGY37,2024.0,1000.0,tcl,6.53,amoled,3.1,6.0,2.57,254.42,1080.0,2400.0,4500.0,355.45454545454544,499.99,270.96,6.523379288096166
B08PCC2N1J,2012.0,256.0,apple,5.4,oled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,1874.2857142857144,499.99,245.0,6.9152590793516495
B0CNQ974BZ,2024.0,256.0,samsung,6.7,lcd,2.6,12.0,2.57,254.42,1920.0,1080.0,5000.0,167.5,499.99,1459.0,7.151204090668483
B0D7937X6N,2024.0,64.0,fossibot,6.74,lcd,2000.0,12.0,2.57,254.42,1080.0,2400.0,10300.0,39.285714285714285,139.99,109.99,30.316090240099772
B0DFP9QZQW,2024.0,128.0,oukitel,6.52,lcd,1.6,127.0,0.9,460.0,1080.0,1920.0,4300.0,66.59090909090908,99.99,79.99,13.735839850236951
B0B8PBZC8S,2022.0,128.0,xiaomi,40.55,amoled,3.0,8.0,0.7,173.0,2400.0,1080.0,5000.0,25.0,217.66,169.0,17.541739133728715
B09Q9ZVXZY,2024.0,128.0,xiaomi,6.43,lcd,2.4,4.0,0.81,179.5,1920.0,1080.0,5000.0,3821.590909090909,499.99,188.75,6.232664040780359
B09C1X76CG,2024.0,128.0,panasonic,5.0,lcd,1.2,1.0,60.0,290.0,400.0,240.0,1.0,29.72972972972973,569.99,52.7,14.659866387973457
B0C9TW6KQH,2024.0,256.0,asus,5.9,amoled,3.2,8.0,28.0,172.0,2400.0,1080.0,4300.0,48.44444444444444,699.99,599.0,6.9312557722326105
B0DCC3QKCR,2024.0,256.0,oppo,6.7,amoled,2.4,8.0,0.77,500.0,2400.0,1080.0,5000.0,17.619047619047617,1579.0,1579.0,7.500238569436225
B09QS7K6CP,2024.0,256.0,xiaomi,6.43,lcd,12.3,6.0,60.0,179.0,1080.0,2340.0,5000.0,3821.590909090909,156.99,156.99,15.066849879490748
B0C86M1H8Q,2024.0,512.0,samsung,6.7,lcd,2.7,8.0,2.57,254.42,1080.0,2400.0,3700.0,21.0,199.99,1329.0,7.2629169489676615
B0CL9KJQPY,2013.0,256.0,doogee,6.58,lcd,2.0,12.0,5.7,390.0,1080.0,2408.0,10800.0,14.5,209.99,199.49,6.6987596835786
B0CY5DH5VG,2024.0,512.0,8849,6.79,lcd,3.1,32.0,3.1,696.0,1080.0,2246.0,23800.0,25.27777777777778,199.99,749.99,8.074925148866452
B0DFP5WQSQ,2024.0,128.0,oukitel,6.52,lcd,1.6,127.0,0.9,460.0,1520.0,720.0,4300.0,66.59090909090908,99.99,79.99,13.77050036229426
B0DG55RN6Q,2024.0,512.0,8849pro,6.79,lcd,3.0,18.0,2.57,254.42,1920.0,1080.0,23800.0,1.0416666666666667,199.99,859.99,8.703020104147939
B0CMJL12C7,2024.0,256.0,xiaomi,6.67,amoled,2.2,8.0,2.57,254.42,2400.0,1080.0,5000.0,209.7674418604651,1299.0,193.34,6.369726022759398
B0C5Y53G65,2024.0,256.0,honor,6.7,lcd,2.2,8.0,28.0,179.0,1080.0,2388.0,4500.0,114.04761904761904,299.0,199.4,6.417342595374116
B0BSLJNW5G,2024.0,256.0,motorola,6.5,lcd,2.4,8.0,28.0,181.0,1080.0,2400.0,5000.0,189.53488372093025,499.99,194.99,6.541550900774218
