_id,IQR,Z-Score,Isolation Forest,DBSCAN,Mahalanobis,Total
B07NS5QPJM,6.0,3.0,1.0,1.0,0.0,11.0
B0CY5DH5VG,5.0,2.0,1.0,1.0,0.0,9.0
B09YVLRX8D,6.0,1.0,1.0,1.0,0.0,9.0
B071HTGC1R,5.0,2.0,1.0,1.0,0.0,9.0
B07MJRQY64,6.0,1.0,1.0,1.0,0.0,9.0
B0CPYKX9X8,6.0,1.0,1.0,1.0,0.0,9.0
B00TUXHZTW,5.0,2.0,1.0,1.0,0.0,9.0
B08X7C6SLQ,5.0,2.0,1.0,1.0,0.0,9.0
B0CYYD213D,4.0,2.0,1.0,1.0,0.0,8.0
B082MFY8SW,6.0,0.0,1.0,1.0,0.0,8.0
B07XQBG9ND,6.0,0.0,1.0,1.0,0.0,8.0
B00TKALUDC,5.0,1.0,1.0,1.0,0.0,8.0
B00IRZ8EQC,5.0,1.0,1.0,1.0,0.0,8.0
B07PNL5STG,5.0,1.0,1.0,1.0,0.0,8.0
B00J8OA220,5.0,1.0,1.0,1.0,0.0,8.0
B0DCJSVXB8,4.0,2.0,1.0,1.0,0.0,8.0
B0DCC3QKCR,4.0,2.0,1.0,1.0,0.0,8.0
B0C818XP65,5.0,1.0,1.0,1.0,0.0,8.0
B0CG6M6J58,6.0,0.0,1.0,1.0,0.0,8.0
B0DPXMMZ84,3.0,3.0,1.0,1.0,0.0,8.0
B0DKWVTH6R,4.0,2.0,1.0,1.0,0.0,8.0
B0CPYK2K1J,5.0,1.0,1.0,1.0,0.0,8.0
B0DB85DRHX,6.0,0.0,1.0,1.0,0.0,8.0
B0CNQ5WD9K,4.0,2.0,1.0,1.0,0.0,8.0
B0CP2FGY64,4.0,2.0,1.0,1.0,0.0,8.0
B0CJCHLJ1C,6.0,0.0,1.0,1.0,0.0,8.0
B0C69YZYYJ,6.0,0.0,1.0,1.0,0.0,8.0
B01DYN5N06,4.0,1.0,1.0,1.0,0.0,7.0
B07RMHCWLM,5.0,0.0,1.0,1.0,0.0,7.0
B0C9TW6KQH,4.0,1.0,1.0,1.0,0.0,7.0
B07DZXJ4C7,5.0,0.0,1.0,1.0,0.0,7.0
B07N4TBJCH,5.0,0.0,1.0,1.0,0.0,7.0
B0DMW7WM42,5.0,0.0,1.0,1.0,0.0,7.0
B0DG55RN6Q,4.0,1.0,1.0,1.0,0.0,7.0
B0DMP72N29,5.0,0.0,1.0,1.0,0.0,7.0
B0DGLKLFJB,4.0,1.0,1.0,1.0,0.0,7.0
B0DGLLWPMM,4.0,1.0,1.0,1.0,0.0,7.0
B0CL9KJQPY,4.0,1.0,1.0,1.0,0.0,7.0
B0BYNS1RSX,5.0,0.0,1.0,1.0,0.0,7.0
B0CMGRFD4Y,4.0,1.0,1.0,1.0,0.0,7.0
B0CLL5GTDW,5.0,1.0,0.0,1.0,0.0,7.0
B09C1X76CG,4.0,1.0,1.0,1.0,0.0,7.0
B0DC742WFC,5.0,0.0,1.0,1.0,0.0,7.0
B0CSF7B4Q8,3.0,2.0,1.0,1.0,0.0,7.0
B0D7V1FCLD,3.0,2.0,1.0,1.0,0.0,7.0
B0CSVS3FNK,3.0,2.0,1.0,1.0,0.0,7.0
B082DN7RVM,4.0,1.0,1.0,1.0,0.0,7.0
B0D4CGL6ZF,4.0,1.0,1.0,1.0,0.0,7.0
B0D45VFT26,3.0,2.0,1.0,1.0,0.0,7.0
B0759QPPKN,5.0,0.0,1.0,1.0,0.0,7.0
B0DPXNHN3F,3.0,2.0,1.0,1.0,0.0,7.0
B00XAD2IC2,3.0,2.0,1.0,1.0,0.0,7.0
B0DG5SB94T,5.0,0.0,1.0,1.0,0.0,7.0
B09QS7K6CP,3.0,2.0,1.0,1.0,0.0,7.0
B01BWV9A42,3.0,2.0,1.0,1.0,0.0,7.0
B0DVH4PRZP,4.0,0.0,1.0,1.0,0.0,6.0
B01BYD0ZRO,2.0,2.0,1.0,1.0,0.0,6.0
B0DQGMFWDY,3.0,1.0,1.0,1.0,0.0,6.0
B07HKNF367,4.0,1.0,0.0,1.0,0.0,6.0
B0DPXMFDNS,3.0,2.0,0.0,1.0,0.0,6.0
B0DPXNDX28,2.0,2.0,1.0,1.0,0.0,6.0
B0CXTPFDYC,4.0,0.0,1.0,1.0,0.0,6.0
B084XRF3MG,3.0,1.0,1.0,1.0,0.0,6.0
B0C1FJBG8P,4.0,1.0,0.0,1.0,0.0,6.0
B0DM67VYSC,4.0,0.0,1.0,1.0,0.0,6.0
B09QH6KD26,2.0,2.0,1.0,1.0,0.0,6.0
B0CL4VX9CZ,3.0,1.0,1.0,1.0,0.0,6.0
B0DB82T9RS,4.0,0.0,1.0,1.0,0.0,6.0
B0C4T4N3Z3,4.0,0.0,1.0,1.0,0.0,6.0
B0CBPSB8NW,4.0,1.0,0.0,1.0,0.0,6.0
B0CMGVXB9V,4.0,1.0,0.0,1.0,0.0,6.0
B0CKWDPR95,3.0,1.0,1.0,1.0,0.0,6.0
B0DCNRR93M,4.0,1.0,0.0,1.0,0.0,6.0
B0D6YYX6WK,4.0,0.0,1.0,1.0,0.0,6.0
B0CNQ7VJ6H,2.0,2.0,1.0,1.0,0.0,6.0
B09J38P7CZ,4.0,0.0,1.0,1.0,0.0,6.0
B0D7937X6N,2.0,1.0,1.0,1.0,1.0,6.0
B08PCFF5QB,3.0,1.0,1.0,1.0,0.0,6.0
B08PCC2N1J,3.0,1.0,1.0,1.0,0.0,6.0
B08HNWHVQK,3.0,1.0,1.0,1.0,0.0,6.0
B0CX1J157Y,4.0,0.0,1.0,1.0,0.0,6.0
B0CJFMQTY5,5.0,0.0,0.0,1.0,0.0,6.0
B0DJL3RGDC,4.0,0.0,1.0,1.0,0.0,6.0
B0CJFJQLRF,5.0,0.0,0.0,1.0,0.0,6.0
B0DMP6PMTB,2.0,2.0,1.0,1.0,0.0,6.0
B0BT8HFMPX,3.0,1.0,1.0,1.0,0.0,6.0
B0BCKXGDGR,3.0,1.0,1.0,1.0,0.0,6.0
B0BNLZ6GXH,4.0,0.0,1.0,1.0,0.0,6.0
B0BSLKFY68,3.0,1.0,1.0,1.0,0.0,6.0
B0B31F47DH,4.0,0.0,1.0,1.0,0.0,6.0
B0CYLGNKZP,4.0,0.0,0.0,1.0,0.0,5.0
B0D1GD4SXB,4.0,0.0,0.0,1.0,0.0,5.0
B0D1BN9LSB,3.0,1.0,0.0,1.0,0.0,5.0
B07QZN6DGK,3.0,0.0,1.0,1.0,0.0,5.0
B0968BDKF2,4.0,0.0,0.0,1.0,0.0,5.0
B0CNTMLQX4,3.0,0.0,1.0,1.0,0.0,5.0
B0D8QFSDNC,3.0,1.0,0.0,1.0,0.0,5.0
B0D7HZ6Z8P,3.0,1.0,0.0,1.0,0.0,5.0
B082L1XCFC,2.0,1.0,1.0,1.0,0.0,5.0
B08PCCZB1H,2.0,1.0,1.0,1.0,0.0,5.0
B08P7M64BJ,4.0,0.0,0.0,1.0,0.0,5.0
B0CTHYFH35,3.0,1.0,0.0,1.0,0.0,5.0
B0CWTPTF51,4.0,0.0,0.0,1.0,0.0,5.0
B0D4SSH1FX,4.0,0.0,0.0,1.0,0.0,5.0
B08PCD77DV,4.0,0.0,0.0,1.0,0.0,5.0
B0DPFBNN38,4.0,0.0,0.0,1.0,0.0,5.0
B0CR1F2812,4.0,0.0,0.0,1.0,0.0,5.0
B0D5R9QNJH,4.0,0.0,0.0,1.0,0.0,5.0
B082TDHDCJ,4.0,0.0,0.0,1.0,0.0,5.0
B0DPF7PXV4,4.0,0.0,0.0,1.0,0.0,5.0
B09J4YTH9N,3.0,1.0,0.0,1.0,0.0,5.0
B0D8BR4CDP,4.0,0.0,0.0,1.0,0.0,5.0
B0D8QCWYC5,3.0,1.0,0.0,1.0,0.0,5.0
B0CHBHVX9K,3.0,1.0,0.0,1.0,0.0,5.0
B09MJSV5WB,3.0,1.0,0.0,1.0,0.0,5.0
B09MJV1MZG,3.0,1.0,0.0,1.0,0.0,5.0
B09Q9ZVXZY,2.0,1.0,1.0,1.0,0.0,5.0
B0DCNS8NJM,4.0,0.0,0.0,1.0,0.0,5.0
B0CMGM6642,3.0,1.0,0.0,1.0,0.0,5.0
B0CMX16QF1,4.0,0.0,0.0,1.0,0.0,5.0
B0DBVB3K5C,3.0,1.0,0.0,1.0,0.0,5.0
B0DB7HKTMJ,3.0,1.0,0.0,1.0,0.0,5.0
B0CNTS3S1H,4.0,0.0,0.0,1.0,0.0,5.0
B0DFP9QZQW,2.0,1.0,1.0,1.0,0.0,5.0
B0CFV31YBL,4.0,0.0,0.0,1.0,0.0,5.0
B0CD3LF5JW,4.0,0.0,0.0,1.0,0.0,5.0
B0DFP5WQSQ,2.0,1.0,1.0,1.0,0.0,5.0
B09YHKB7DT,4.0,0.0,0.0,1.0,0.0,5.0
B0DN5YTHZ9,3.0,1.0,0.0,1.0,0.0,5.0
B0BZ7R2MPQ,3.0,1.0,0.0,1.0,0.0,5.0
B09QH71RZR,2.0,1.0,1.0,1.0,0.0,5.0
B0DHHH14QT,4.0,0.0,0.0,1.0,0.0,5.0
B0DH4DTQYB,4.0,0.0,0.0,1.0,0.0,5.0
B06XW8Q72D,3.0,1.0,0.0,1.0,0.0,5.0
B0BTPFDYNM,4.0,0.0,0.0,1.0,0.0,5.0
B0BWYVX9LY,2.0,1.0,1.0,1.0,0.0,5.0
B0BG5Z1Q2D,3.0,1.0,0.0,1.0,0.0,5.0
B0C1GPK2LX,4.0,0.0,0.0,1.0,0.0,5.0
B06XCJP94G,4.0,0.0,0.0,1.0,0.0,5.0
B0BD8NXHNL,4.0,0.0,0.0,1.0,0.0,5.0
B0B8ZF9ZPV,4.0,0.0,0.0,1.0,0.0,5.0
B0B8PBZC8S,3.0,1.0,0.0,1.0,0.0,5.0
B0DPXMJNV7,2.0,1.0,1.0,1.0,0.0,5.0
B0DPXN3YHT,2.0,2.0,0.0,1.0,0.0,5.0
B0DQY1C84Q,3.0,1.0,0.0,1.0,0.0,5.0
B00VM0D0W2,3.0,0.0,0.0,1.0,0.0,4.0
B00XHYJ2XW,2.0,1.0,0.0,1.0,0.0,4.0
B0DR8D6RYQ,3.0,0.0,0.0,1.0,0.0,4.0
B0D2HQ626M,3.0,0.0,0.0,1.0,0.0,4.0
B0D4DYWF3H,3.0,0.0,0.0,1.0,0.0,4.0
B0D4LZJ3ZG,3.0,0.0,0.0,1.0,0.0,4.0
B0BGLC9F3G,3.0,0.0,0.0,1.0,0.0,4.0
B0BNJVY7NS,4.0,0.0,0.0,0.0,0.0,4.0
B0BNQ5Y8BR,3.0,0.0,0.0,1.0,0.0,4.0
B0DL4831YZ,3.0,0.0,0.0,1.0,0.0,4.0
B0DL93KNRY,3.0,0.0,0.0,1.0,0.0,4.0
B0DLBD5MSS,3.0,0.0,0.0,1.0,0.0,4.0
B0BDQ5C7YX,3.0,0.0,0.0,1.0,0.0,4.0
B0CTHXXX7V,3.0,0.0,0.0,1.0,0.0,4.0
B0CTHYTJGP,2.0,1.0,0.0,1.0,0.0,4.0
B0CTKQS5XY,3.0,0.0,0.0,1.0,0.0,4.0
B0CVX5D7HH,3.0,0.0,0.0,1.0,0.0,4.0
