ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly,cluster,mahalanobis
2024.0,256.0,motorola,6.67,amoled,2.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,13.902439024390246,184.0,184.0,-0.1944601479350458,1,0,1.0888551325051283
2024.0,64.0,panasonic,1.8,lcd,0.7,32.0,2.57,254.42,1080.0,2400.0,800.0,1.0526315789473684,39.9,25.99,-0.8896350175960513,1,1,3.9507892344689655
2024.0,128.0,vivo,6.56,lcd,17.2,4.0,0.84,185.0,1080.0,2400.0,5000.0,0.9756097560975612,112.95,112.95,-0.5070490631265807,1,2,1.5972020214184088
2024.0,128.0,cocomm,6.56,lcd,32.3,4.0,2.0,200.0,1080.0,2400.0,5000.0,1.794871794871795,89.99,89.99,-0.6080630179865055,1,2,1.554752967279586
2024.0,256.0,realme,6.78,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5500.0,108.4090909090909,199.99,313.22,0.3740513175266032,1,0,1.2367195325122684
2024.0,128.0,doogee,6.0,lcd,2.0,4.0,2.57,254.42,1080.0,2400.0,4200.0,78.46153846153847,89.99,89.99,-0.6080630179865055,1,6,1.4231955451189164
2024.0,256.0,xiaomi,6.67,amoled,2.2,8.0,2.57,254.42,1080.0,2400.0,5000.0,209.7674418604651,229.9,229.9,0.007479770534925481,1,0,0.9720140676285086
2024.0,256.0,xiaomi,6.67,amoled,2.5,6.0,0.81,202.0,1080.0,2400.0,4500.0,63.86363636363636,340.41,245.49,0.07606894981481332,1,3,1.2591425305605626
2024.0,256.0,xiaomi,6.79,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,73.80952380952381,199.99,199.9,-0.12450710428204918,1,0,1.0492641368680762
2024.0,256.0,samsung,6.67,lcd,2.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,12.954545454545451,199.99,187.0,-0.18126146045334832,1,0,1.0609511950489994
2024.0,128.0,luqeeg,4.66,lcd,1.1,1.0,2.57,254.42,1080.0,2400.0,3000.0,21.176470588235293,199.99,44.4,-0.8086390720833678,1,4,1.858537835760555
2024.0,128.0,jectse,1.8,lcd,0.6,32.0,2.57,254.42,1080.0,2400.0,800.0,0.4347826086956522,34.83,34.83,-0.8507428851499828,1,1,3.864728250153397
2024.0,256.0,doogee,6.56,lcd,1.4,16.0,1.07,240.0,1080.0,2400.0,5150.0,5.227272727272727,209.99,149.99,-0.34408926835255604,1,5,1.3560198222996693
2024.0,256.0,honor,6.78,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5200.0,45.22727272727273,499.99,229.0,0.0035201642904162164,1,0,1.6605617724505477
2024.0,128.0,blackview,6.52,lcd,33.2,8.0,2.57,254.42,1080.0,2400.0,5180.0,62.32558139534884,88.99,88.99,-0.6124625804804046,1,6,1.3479454595199314
2024.0,128.0,xiaomi,6.67,lcd,3.0,6.0,2.57,254.42,1080.0,2400.0,5500.0,44.77272727272727,229.9,199.99,-0.12411114365759825,1,6,1.209533202510951
2024.0,256.0,motorola,6.67,lcd,2.2,8.0,2.57,254.42,1080.0,2400.0,3600.0,12.045454545454543,199.99,276.0,0.21029960150367652,1,0,1.3476347947616536
2024.0,256.0,xiaomi,6.88,lcd,15.5,8.0,2.57,254.42,1640.0,720.0,5160.0,0.9090909090909092,143.0,128.07,-0.4405276782188256,1,7,1.959716478979503
2024.0,128.0,xiaomi,6.67,amoled,2.4,6.0,0.82,200.0,1080.0,2400.0,5500.0,0.9523809523809524,165.23,159.0,-0.3044492102825247,1,2,1.4683409977734043
2024.0,128.0,xiaomi,6.56,lcd,2.0,4.0,2.57,254.42,1080.0,2400.0,5000.0,37.14285714285714,124.57,88.5,-0.6146183661024152,1,6,1.3784733967361102
