ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly,cluster,mahalanobis
2024.0,256.0,samsung,6.7,superamoled,2.2,6.0,0.77,179.0,1080.0,2400.0,4500.0,1761.8181818181818,279.99,279.99,0.2278538558543342,1,-1,2.8359166755406804
2024.0,512.0,xiaomi,6.67,amoled,3.0,12.0,0.03,540.0,1560.0,1440.0,5000.0,465.7142857142857,449.9,449.9,0.9753835191927396,1,-1,4.0207453732758385
2024.0,256.0,thuraya,6.1,lcd,2.7,32.0,2.57,254.42,1080.0,2400.0,5000.0,182.72727272727272,499.99,1335.0,4.869436282542882,1,-1,6.603610349759185
2019.0,128.0,samsung,4.99,lcd,1.1,16.0,0.97,172.93,1280.0,720.0,2800.0,239.7619047619048,149.99,144.99,-0.3660870808220518,1,-1,3.3136011025216945
2017.0,64.0,samsung,6.2,amoled,2.3,4.0,0.8,173.0,1440.0,2960.0,3500.0,757.75,219.99,219.99,-0.036119893779615136,1,-1,4.162831649945675
2017.0,64.0,samsung,5.8,amoled,2.3,4.0,0.8,152.0,1080.0,2400.0,3000.0,725.1162790697674,199.99,199.99,-0.12411114365759825,1,-1,3.8318309916944897
2018.0,64.0,samsung,6.0,amoled,2.2,4.0,0.75,347.4,2220.0,1080.0,3300.0,785.2272727272726,163.13,163.13,-0.2862790171827212,1,-1,4.107045781328774
2024.0,256.0,motorola,6.67,amoled,2.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,13.902439024390246,184.0,184.0,-0.1944601479350458,1,0,1.0888551325051283
2024.0,256.0,samsung,6.1,amoled,2.7,6.0,0.78,157.0,1440.0,3040.0,3400.0,1414.25,267.84,267.84,0.1743991715534593,1,-1,2.8379411190200154
2024.0,128.0,samsung,6.1,amoled,3.2,6.0,0.8,157.0,3040.0,1440.0,3400.0,74.75,449.9,279.99,0.2278538558543342,1,-1,3.7318327735505186
2024.0,256.0,samsung,6.4,amoled,2.8,8.0,0.78,175.0,1440.0,3040.0,5000.0,989.047619047619,290.0,290.0,0.2718934764182647,1,-1,2.385219106010536
2024.0,256.0,samsung,6.1,amoled,3.1,8.0,0.78,155.92,1440.0,3040.0,5000.0,1414.25,199.99,269.99,0.18385823091534265,1,-1,2.900260379513881
2019.0,256.0,huawei,6.15,amoled,2.2,4.0,0.74,159.0,1080.0,2312.0,1.0,1278.4444444444443,349.0,198.0,-0.13286627302045761,1,-1,3.515626581097703
2019.0,256.0,huawei,6.67,lcd,2.2,4.0,0.74,159.0,1080.0,2340.0,3340.0,1278.4444444444443,349.0,199.99,-0.12411114365759825,1,-1,3.2423312554567385
2019.0,256.0,google,5.6,oled,2.0,4.0,0.7,147.0,1080.0,2220.0,5000.0,2.954545454545454,249.99,249.99,0.09586698103735954,1,-1,2.9186138256985656
2024.0,64.0,panasonic,1.8,lcd,0.7,32.0,2.57,254.42,1080.0,2400.0,800.0,1.0526315789473684,39.9,25.99,-0.8896350175960513,1,1,3.9507892344689655
2024.0,128.0,zte,5.0,lcd,0.5,32.0,1.0,250.0,1080.0,2400.0,800.0,40.909090909090914,42.0,38.4,-0.8350364470467628,1,-1,3.522643771379596
2024.0,128.0,zte,5.0,lcd,1.3,1.0,11.13,143.0,1080.0,2400.0,3600.0,41.03448275862069,199.99,38.45,-0.8348164689220677,1,-1,2.830939357031643
2024.0,256.0,samsung,6.3,amoled,2.8,12.0,0.79,198.0,2560.0,1440.0,5000.0,345.12820512820514,549.0,449.99,0.9757794798171906,1,-1,2.632187697410728
2020.0,256.0,samsung,6.3,amoled,3.1,8.0,0.79,168.0,1080.0,2340.0,3500.0,156.75,199.99,231.23,0.013331188651811288,1,-1,2.298387996295987
2024.0,128.0,vivo,6.56,lcd,2.4,4.0,0.84,185.0,1612.0,720.0,5000.0,1.4285714285714286,499.99,143.04,-0.37466622768515523,1,-1,2.6282217032652215
2024.0,128.0,vivo,6.56,lcd,17.2,4.0,0.84,185.0,1080.0,2400.0,5000.0,0.9756097560975612,112.95,112.95,-0.5070490631265807,1,2,1.5972020214184088
2024.0,128.0,vivo,6.56,lcd,16.3,4.0,0.84,185.0,1080.0,2400.0,5000.0,1.2195121951219514,379.99,119.0,-0.4804317100384909,1,-1,1.872034311735154
2019.0,128.0,xiaomi,6.2,lcd,1.9,3.0,2.57,254.42,1920.0,1080.0,4500.0,194.66666666666663,199.99,74.7,-0.6753323285182234,1,-1,3.1068763623114353
2019.0,64.0,samsung,5.9,superamoled,2.9,1.0,2.57,254.42,1920.0,1080.0,3100.0,228.46153846153845,549.0,66.89,-0.7096929115955758,1,-1,3.914050614438614
