ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly
2013.0,256.0,samsung,4.3,lcd,1.7,1.0,1.27,77.11,540.0,960.0,5000.0,279.4594594594594,199.99,245.0,0.07391316419280271,-1
2024.0,160.0,inmarsat,2.0,lcd,2.9,2.0,10.16,318.0,240.0,320.0,160.0,0.8,199.99,933.0,3.1008121599954217,-1
2024.0,256.0,samsung,6.7,superamoled,2.2,6.0,0.77,179.0,1080.0,2400.0,4500.0,1761.8181818181818,279.99,279.99,0.2278538558543342,1
2015.0,128.0,ttfone,2.0,lcd,0.0,4.0,1.8,75.0,1080.0,2400.0,800.0,168.57142857142856,45.99,41.99,-0.8192420176936648,-1
2015.0,128.0,doro,2.0,lcd,1.2,12.0,1.9,74.0,3840.0,2160.0,800.0,74.0,48.67,48.67,-0.7898529402344185,-1
2024.0,512.0,xiaomi,6.67,amoled,3.0,12.0,0.03,540.0,1560.0,1440.0,5000.0,465.7142857142857,449.9,449.9,0.9753835191927396,1
1990.0,256.0,thuraya,6.7,lcd,1.0,16.0,3.0,212.0,1080.0,2400.0,1.0,1.3636363636363635,199.99,1085.0,3.7695456590680934,-1
2024.0,256.0,thuraya,6.1,lcd,2.7,32.0,2.57,254.42,1080.0,2400.0,5000.0,182.72727272727272,499.99,1335.0,4.869436282542882,1
2016.0,256.0,samsung,5.1,superamoled,2.3,4.0,0.79,151.95,1440.0,2560.0,3600.0,2874.0,179.0,179.0,-0.21645796040454157,-1
2016.0,256.0,samsung,5.5,amoled,3.9,4.0,0.77,157.0,1080.0,1920.0,3600.0,2874.0,186.0,186.0,-0.18566102294724748,-1
2016.0,256.0,huawei,5.2,ips,2.0,3.0,0.75,147.0,1080.0,1920.0,3000.0,566.25,448.96,448.96,0.9712479304484744,-1
2019.0,128.0,samsung,4.99,lcd,1.1,16.0,0.97,172.93,1280.0,720.0,2800.0,239.7619047619048,149.99,144.99,-0.3660870808220518,1
2017.0,64.0,samsung,6.2,amoled,2.3,4.0,0.8,173.0,1440.0,2960.0,3500.0,757.75,219.99,219.99,-0.036119893779615136,1
2017.0,64.0,samsung,5.8,amoled,2.3,4.0,0.8,152.0,1080.0,2400.0,3000.0,725.1162790697674,199.99,199.99,-0.12411114365759825,1
2017.0,128.0,nokia,1.8,lcd,0.9,16.0,1.28,60.0,1080.0,2400.0,1200.0,2697.948717948718,35.62,32.34,-0.8616977957597917,-1
2019.0,64.0,hipipooo,2.5,oled,0.8,2.0,2.0,18.0,800.0,480.0,800.0,306.4102564102564,27.0,27.0,-0.8851914594772132,-1
2019.0,64.0,artfone,1.8,lcd,0.8,32.0,1.39,180.0,1080.0,2400.0,1400.0,1202.6190476190477,28.99,28.99,-0.8764363301143538,-1
2018.0,64.0,samsung,6.0,amoled,2.2,4.0,0.75,347.4,2220.0,1080.0,3300.0,785.2272727272726,163.13,163.13,-0.2862790171827212,1
2018.0,64.0,nokia,1.8,lcd,0.0,4.0,1.44,20.0,1080.0,2400.0,800.0,624.1176470588235,54.98,22.99,-0.9028337050777487,-1
