ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
2013.0,256.0,samsung,4.3,lcd,1.7,1.0,1.27,77.11,540.0,960.0,5000.0,279.4594594594594,199.99,245.0
2015.0,128.0,ttfone,2.0,lcd,0.0,4.0,1.8,75.0,1080.0,2400.0,800.0,168.57142857142856,45.99,41.99
2015.0,128.0,doro,2.0,lcd,1.2,12.0,1.9,74.0,3840.0,2160.0,800.0,74.0,48.67,48.67
1990.0,256.0,thuraya,6.7,lcd,1.0,16.0,3.0,212.0,1080.0,2400.0,1.0,1.3636363636363635,199.99,1085.0
2016.0,256.0,samsung,5.1,superamoled,2.3,4.0,0.79,151.95,1440.0,2560.0,3600.0,2874.0,179.0,179.0
2016.0,256.0,samsung,5.5,amoled,3.9,4.0,0.77,157.0,1080.0,1920.0,3600.0,2874.0,186.0,186.0
2016.0,256.0,huawei,5.2,ips,2.0,3.0,0.75,147.0,1080.0,1920.0,3000.0,566.25,448.96,448.96
2019.0,128.0,samsung,4.99,lcd,1.1,16.0,0.97,172.93,1280.0,720.0,2800.0,239.7619047619048,149.99,144.99
2017.0,64.0,samsung,6.2,amoled,2.3,4.0,0.8,173.0,1440.0,2960.0,3500.0,757.75,219.99,219.99
2017.0,64.0,samsung,5.8,amoled,2.3,4.0,0.8,152.0,1080.0,2400.0,3000.0,725.1162790697674,199.99,199.99
2017.0,128.0,nokia,1.8,lcd,0.9,16.0,1.28,60.0,1080.0,2400.0,1200.0,2697.948717948718,35.62,32.34
2019.0,64.0,hipipooo,2.5,oled,0.8,2.0,2.0,18.0,800.0,480.0,800.0,306.4102564102564,27.0,27.0
2019.0,64.0,artfone,1.8,lcd,0.8,32.0,1.39,180.0,1080.0,2400.0,1400.0,1202.6190476190477,28.99,28.99
2018.0,64.0,samsung,6.0,amoled,2.2,4.0,0.75,347.4,2220.0,1080.0,3300.0,785.2272727272726,163.13,163.13
2018.0,64.0,nokia,1.8,lcd,0.0,4.0,1.44,20.0,1080.0,2400.0,800.0,624.1176470588235,54.98,22.99
2018.0,64.0,samsung,5.8,amoled,34.5,4.0,8.51,199.58,2960.0,1440.0,3000.0,25.897435897435894,1299.0,84.89
2019.0,128.0,samsung,6.2,lcd,24.2,2.0,10.0,166.0,1080.0,2400.0,3400.0,4.871794871794872,549.0,96.89
2019.0,256.0,huawei,6.15,amoled,2.2,4.0,0.74,159.0,1080.0,2312.0,1.0,1278.4444444444443,349.0,198.0
2019.0,256.0,huawei,6.67,lcd,2.2,4.0,0.74,159.0,1080.0,2340.0,3340.0,1278.4444444444443,349.0,199.99
2019.0,256.0,google,5.6,oled,2.0,4.0,0.7,147.0,1080.0,2220.0,5000.0,2.954545454545454,249.99,249.99
2020.0,256.0,samsung,6.3,amoled,3.1,8.0,0.79,168.0,1080.0,2340.0,3500.0,156.75,199.99,231.23
2019.0,512.0,ttfone,2.8,lcd,25.8,4.0,2.0,128.0,1080.0,2400.0,1400.0,263.3333333333333,109.99,94.55
2019.0,128.0,xiaomi,6.2,lcd,1.9,3.0,2.57,254.42,1920.0,1080.0,4500.0,194.66666666666663,199.99,74.7
2019.0,64.0,samsung,5.9,superamoled,2.9,1.0,2.57,254.42,1920.0,1080.0,3100.0,228.46153846153845,549.0,66.89
2019.0,256.0,samsung,6.3,amoled,3.1,8.0,20.0,170.0,1440.0,3040.0,3500.0,13.23529411764706,199.99,215.0
2020.0,256.0,samsung,6.5,superamoled,3.1,4.0,0.79,172.0,1080.0,2400.0,4000.0,409.7674418604651,369.0,229.87
