ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
2013.0,256.0,samsung,4.3,lcd,1.7,1.0,1.27,77.11,540.0,960.0,5000.0,279.4594594594594,199.99,245.0
2015.0,128.0,ttfone,2.0,lcd,0.0,4.0,1.8,75.0,1080.0,2400.0,800.0,168.57142857142856,45.99,41.99
2015.0,128.0,doro,2.0,lcd,1.2,12.0,1.9,74.0,3840.0,2160.0,800.0,74.0,48.67,48.67
1990.0,256.0,thuraya,6.7,lcd,1.0,16.0,3.0,212.0,1080.0,2400.0,1.0,1.3636363636363635,199.99,1085.0
2016.0,256.0,samsung,5.1,superamoled,2.3,4.0,0.79,151.95,1440.0,2560.0,3600.0,2874.0,179.0,179.0
2016.0,256.0,samsung,5.5,amoled,3.9,4.0,0.77,157.0,1080.0,1920.0,3600.0,2874.0,186.0,186.0
2016.0,256.0,huawei,5.2,ips,2.0,3.0,0.75,147.0,1080.0,1920.0,3000.0,566.25,448.96,448.96
2017.0,64.0,samsung,6.2,amoled,2.3,4.0,0.8,173.0,1440.0,2960.0,3500.0,757.75,219.99,219.99
2017.0,64.0,samsung,5.8,amoled,2.3,4.0,0.8,152.0,1080.0,2400.0,3000.0,725.1162790697674,199.99,199.99
2017.0,128.0,nokia,1.8,lcd,0.9,16.0,1.28,60.0,1080.0,2400.0,1200.0,2697.948717948718,35.62,32.34
2018.0,64.0,samsung,6.0,amoled,2.2,4.0,0.75,347.4,2220.0,1080.0,3300.0,785.2272727272726,163.13,163.13
2018.0,64.0,nokia,1.8,lcd,0.0,4.0,1.44,20.0,1080.0,2400.0,800.0,624.1176470588235,54.98,22.99
2018.0,64.0,samsung,5.8,amoled,34.5,4.0,8.51,199.58,2960.0,1440.0,3000.0,25.897435897435894,1299.0,84.89
2012.0,256.0,apple,5.4,oled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,1874.2857142857144,499.99,245.0
2018.0,64.0,fossibot,5.45,amoled,2.0,7.0,2.03,350.0,720.0,1440.0,10600.0,5.5813953488372094,139.99,139.99
2018.0,256.0,apple,6.1,xdr,2.5,8.0,2.57,254.42,1080.0,2400.0,2815.0,65.0,499.99,379.0
2013.0,256.0,doogee,6.58,lcd,2.0,12.0,5.7,390.0,1080.0,2408.0,10800.0,14.5,209.99,199.49
2018.0,128.0,apple,6.1,xdr,3.2,6.0,2.57,254.42,1080.0,2400.0,2815.0,352.85714285714283,499.99,370.0
2017.0,128.0,msmga,5.0,lcd,1.2,1.0,2.57,254.42,1280.0,720.0,3000.0,65.66666666666667,149.99,55.99
2013.0,256.0,doogee,6.52,lcd,32.3,20.0,0.91,430.0,1280.0,720.0,4200.0,15.172413793103448,89.99,89.99
2018.0,128.0,hyrich,5.0,lcd,1.2,1.0,2.57,254.42,1280.0,720.0,3000.0,88.92857142857143,199.99,55.99
2018.0,128.0,oneplus,6.7,lcd,2.8,8.0,0.87,197.0,3168.0,1440.0,4500.0,1019.7674418604652,860.81,860.81
2018.0,128.0,motorola,6.5,lcd,2.0,8.0,2.57,254.42,1600.0,720.0,5000.0,18.78048780487805,549.0,145.99
2018.0,256.0,apple,6.1,xdr,2.5,8.0,2.57,254.42,1080.0,2400.0,2815.0,352.85714285714283,549.0,379.5
2018.0,128.0,mtgud,5.0,lcd,1.3,1.0,2.57,254.42,480.0,854.0,3000.0,17.575757575757578,549.0,59.34
2014.0,64.0,akozon,5.5,lcd,1.4,4.0,2.57,254.42,1080.0,2400.0,3000.0,19.45945945945946,61.91,61.91
