product_id ,precio_actual ,precio_anterior ,Tipo de pantalla           ,Tipo de procesador     ,Ano del modelo ,Memoria RAM ,Tecnologia de pantalla                          ,Sistema operativo            ,Capacidad de la memoria flash instalada ,Fabricante                              ,Coprocesador grafico ,Resolucion maxima               ,Numero de procesadores ,Velocidad del procesador ,Frecuencia de actualizacion ,Marca     ,Capacidad de almacenamiento digital ,Capacidad de la memoria ,Capacidad de la memoria RAM instalada ,Tecnologia GSM ,Dimensiones del producto            ,Relacion de aspecto ,Tamano de la pantalla
B0DR8RHJ9T ,"99,.99 "     ,"159,99"        ,LCD                        ,Snapdragon             ,          2025 ,8 GB        ,                                                ,Android 14                   ,6 GB                                    ,OSCAL                                   ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,OSCAL     ,2000 GB                             ,64 GB                   ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,2.20:1              ,"6,56 Pulgadas"
B0DN5YTHZ9 ,"149,.99 "    ,"139,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android 14                   ,                                        ,Ulefone                                 ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,Ulefone   ,256 GB                              ,2048 GB                 ,12 GB                                 ,4G             ,"16,88 x 7,68 x 0,88 cm; 350 g"     ,16:9                ,"6,78 Pulgadas"
B0D4R89TZV ,"209,.49 "    ,"218,98"        ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0DFPZXW3P ,"79,.99 "     ,"99,99"         ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android 14                   ,64 GB                                   ,OUKITEL                                 ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,OUKITEL   ,64 GB                               ,64 GB                   ,8 GB                                  ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,6 Pulgadas"
B0DBLX4FTT ,"106,.24 "    ,"124,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android 14                   ,128 GB                                  ,UMIDIGI                                 ,                     ,720x1600                        ,                     8 ,"1,6 GHz"                ,90 Hz                       ,UMIDIGI   ,1024 GB                             ,128 GB                  ,4 GB                                  ,4G             ,"16,7 x 7,7 x 0,79 cm; 189 g"       ,16:9                ,"6,75 Pulgadas"
B0B1VCR3JY ,"5,.65 "      ,"149,99"        ,LCD                        ,Snapdragon             ,          2024 ,64 GB       ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,10 x 12 x 13 cm; 192 g              ,16:9                ,"6,67 Pulgadas"
B0D8TFQZRD ,"119,.99 "    ,No disponible   ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0DHHH14QT ,"150,.17 "    ,"179,90"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android                      ,6 GB                                    ,Xiaomi                                  ,                     ,1080p Full HD                   ,                     8 ,2 GHz                    ,90 Hz                       ,Xiaomi    ,256 GB                              ,8 GB                    ,8 GB                                  ,4G             ,"8,2 x 77 x 171,9 cm; 500 g"        ,16:9                ,"6,88 Centimetros"
B0DHRTYLC7 ,"109,.99 "    ,"129,99"        ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0DCBZP92Z ,"195,.00 "    ,No disponible   ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,AMOLED                                          ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"16,3 x 7,57 x 0,77 cm; 530 g"      ,16:9                ,"6,67 Pulgadas"
B0D95SK41T ,"386,.00 "    ,"429,00"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,AMOLED                                          ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"0,85 x 7,63 x 16,17 cm; 190 g"     ,16:9                ,"6,67 Pulgadas"
B0DP52QWHF ,"399,.99 "    ,No disponible   ,LCD                        ,Snapdragon             ,          2025 ,8 GB        ,                                                ,Android 14                   ,512 GB                                  ,DOOGEE                                  ,                     ,1080 x 2408 Pixeles             ,                     8 ,"1,6 GHz"                ,120 Hz                      ,DOOGEE    ,512 GB                              ,512 GB                  ,24 GB                                 ,5G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,6 Pulgadas"
B0DL2MFHX3 ,"159,.99 "    ,"175,00"        ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0CR1DP99L ,"199,.00 "    ,"313,61"        ,LCD                        ,Snapdragon             ,          2024 ,12 GB       ,AMOLED                                          ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"17,7 x 9 x 6 cm; 520 g"            ,16:9                ,"6,67 Pulgadas"
B0CR44V59M ,"308,.68 "    ,"318,00"        ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0D6GQTRTS ,"169,.99 "    ,"239,99"        ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B09MJSV5WB ,"379,.00 "    ,"1299,00"       ,xdr                        ,6X86MX                 ,          2018 ,128         ,                                                ,iOS 15                       ,128 Modificador desconocido             ,Apple                                   ,                     ,                                ,                     8 ,"3,22 GHz"               ,90 Hz                       ,Apple     ,128 GB                              ,128 GB                  ,6 GB                                  ,5G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,1 Pulgadas"
B0DG2ZTY46 ,"119,.99 "    ,"149,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android 14                   ,128 GB                                  ,OUKITEL                                 ,                     ,1280x720                        ,                     8 ,"1,6 GHz"                ,90 Hz                       ,OUKITEL   ,128 GB                              ,128 GB                  ,16 GB                                 ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,52 Pulgadas"
B0DJQDMYHD ,"119,.99 "    ,"149,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android 14                   ,6 GB                                    ,DOOGEE                                  ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,DOOGEE    ,256 GB                              ,256 GB                  ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,56 Pulgadas"
B0C6HTJ8RQ ,"152,.89 "    ,"239,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,LCD                                             ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"0,82 x 7,63 x 16,86 cm; 30 g"      ,16:9                ,"6,67 Pulgadas"
B0DKDT5XMD ,"219,.00 "    ,No disponible   ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B09MJMBS9X ,"308,.70 "    ,"1299,00"       ,LCD                        ,Snapdragon             ,          2024 ,256         ,OLED                                            ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,67 Pulgadas"
B0CSFVHB5V ,"264,.90 "    ,"282,00"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,67 Pulgadas"
B0C5DG43KX ,"142,.00 "    ,No disponible   ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0CVQ7541Q ,"390,.00 "    ,"460,48"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"10 x 5 x 1,27 cm; 290 g"           ,16:9                ,"6,67 Pulgadas"
B0DN1557T5 ,"169,.99 "    ,No disponible   ,LCD                        ,Snapdragon             ,          2025 ,8 GB        ,                                                ,Android 14.0 Smartphone      ,256 GB                                  ,OUKITEL                                 ,                     ,720x1600                        ,                     8 ,"1,6 GHz"                ,90 Hz                       ,OUKITEL   ,256 GB                              ,24 GB                   ,24 GB                                 ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,56 Pulgadas"
B08QXMSX7K ,"369,.99 "    ,"379,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,Super AMOLED                                    ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"15,17 x 7,12 x 0,79 cm; 169 g"     ,16:9                ,"6,67 Pulgadas"
B0D95CN6WH ,"57,.99 "     ,"59,99"         ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,LCD                                             ,Android 9.0                  ,1 GB                                    ,MsMga                                   ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,MsMga     ,16 GB                               ,128 GB                  ,                                      ,3G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,5 Pulgadas
B0CF2PV74C ,"174,.00 "    ,"1299,00"       ,LCD                        ,Snapdragon             ,          2023 ,8 GB        ,                                                ,Android 13.0                 ,256 GB                                  ,Motorola                                ,                     ,1080x2400 Pixeles               ,                     8 ,"2,2 GHz"                ,120 Hz                      ,Motorola  ,256 GB                              ,8 GB                    ,8 GB                                  ,5G             ,"16,16 x 7,38 x 0,8 cm; 174 g"      ,1.78:1              ,"6,5 Pulgadas"
B0DB7HKTMJ ,"189,.00 "    ,"207,66"        ,AMOLED                     ,Snapdragon             ,          2023 ,8 GB        ,AMOLED                                          ,Android 13.0                 ,8 GB                                    ,Xiaomi                                  ,                     ,1080p ou Full HD+               ,                     8 ,"2,4 GHz"                ,120 Hz                      ,Xiaomi    ,8 GB                                ,512 GB                  ,8 GB                                  ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"16,94 Centimetros"
