_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
B00IRZ8EQC,2013.0,256.0,samsung,4.3,lcd,1.7000000000000002,1.0,1.27,77.10999999999999,540.0,960.0000000000001,5000.0,279.4594594594594,199.99,245.0
B00J8OA220,2024.0,160.0,inmarsat,2.0,lcd,2.8999999999999995,2.0,10.16,318.0,240.0,320.0,160.0,0.8000000000000114,199.99,933.0
B00JC8MD7Y,2024.0,256.0,samsung,6.7,superamoled,2.2,6.0,0.77,179.0,1080.0,2400.0,4500.0,1761.8181818181818,279.99,279.99
B00TKALUDC,2015.0,128.0,ttfone,2.0,lcd,0.0,4.0,1.8,75.0,1080.0,2400.0,800.0,168.57142857142856,45.99000000000001,41.99000000000001
B00TUXHZTW,2015.0,128.0,doro,2.0,lcd,1.2000000000000002,12.0,1.9,74.0,3840.0,2160.0,800.0,74.0,48.670000000000016,48.66999999999999
B00VM0D0W2,2024.0,512.0,xiaomi,6.67,amoled,3.0,12.0,0.029999999999999805,540.0,1560.0,1440.0,5000.0,465.7142857142857,449.9,449.9
B00XAD2IC2,1990.0,256.0,thuraya,6.7,lcd,1.0,16.0,3.0,212.0,1080.0,2400.0,1.0,1.363636363636374,199.99,1085.0
B00XHYJ2XW,2024.0,256.0,thuraya,6.1,lcd,2.7,32.0,2.57,254.42,1080.0,2400.0,5000.0,182.72727272727272,499.99,1335.0
B01BWV9A42,2016.0,256.0,samsung,5.1,superamoled,2.3,4.0,0.79,151.95,1440.0,2560.0,3600.0,2874.0,179.0,179.0
B01BYD0ZRO,2016.0,256.0,samsung,5.5,amoled,3.9,4.0,0.77,157.0,1080.0,1920.0,3600.0,2874.0,186.0,186.0
B06XCJP94G,2019.0,128.0,samsung,4.99,lcd,1.1000000000000005,16.0,0.97,172.93,1280.0,720.0,2800.0,239.7619047619048,149.99,144.99
B06XW81R9G,2017.0,64.0,samsung,6.2,amoled,2.3,4.0,0.8,173.0,1440.0,2960.0,3500.0,757.75,219.99,219.99
B06XW8Q72D,2017.0,64.0,samsung,5.8,amoled,2.3,4.0,0.8,152.0,1080.0,2400.0,3000.0,725.1162790697674,199.99,199.99
B071HTGC1R,2017.0,128.0,nokia,1.7999999999999998,lcd,0.9000000000000004,16.0,1.28,60.00000000000003,1080.0,2400.0,1200.0,2697.948717948718,35.620000000000005,32.34
B0759QPPKN,2019.0,64.0,hipipooo,2.5,oled,0.7999999999999998,2.0,2.0,18.0,800.0,480.0,800.0,306.4102564102564,27.0,27.0
B07DZXJ4C7,2019.0,64.0,artfone,1.7999999999999998,lcd,0.7999999999999998,32.0,1.39,180.0,1080.0,2400.0,1400.0,1202.619047619048,28.990000000000038,28.99000000000001
B07HKNF367,2018.0,64.0,samsung,6.0,amoled,2.2,4.0,0.75,347.4,2220.0,1080.0,3300.0,785.2272727272725,163.13,163.13
B07KVX2G29,2024.0,256.0,motorola,6.67,amoled,2.8999999999999995,8.0,2.57,254.42,1080.0,2400.0,5000.0,13.902439024390247,184.0,184.0
B07MJRQY64,2018.0,64.0,nokia,1.7999999999999998,lcd,0.0,4.0,1.44,20.0,1080.0,2400.0,800.0,624.1176470588235,54.97999999999999,22.99000000000001
B07MTXWLRP,2024.0,256.0,samsung,6.1,amoled,2.7,6.0,0.78,157.0,1440.0,3040.0,3400.0,1414.25,267.84,267.84
B07N4TBJCH,2024.0,64.0,ukuu,1.7999999999999998,lcd,0.9000000000000004,32.0,2.57,254.42,240.0,320.0,800.0,1082.8947368421052,29.990000000000038,29.99000000000001
B07NWLZMGJ,2024.0,256.0,samsung,6.4,amoled,2.8,8.0,0.78,175.0,1440.0,3040.0,5000.0,989.047619047619,290.0,290.0
B07NWR7QYQ,2024.0,256.0,samsung,6.1,amoled,3.1000000000000005,8.0,0.78,155.92,1440.0,3040.0,5000.0,1414.25,199.99,269.99
B07PNL5STG,2024.0,64.0,iniu,1.7999999999999998,lcd,0.0,32.0,1.27,198.0,1080.0,2400.0,800.0,13566.956521739132,26.99000000000001,17.99000000000001
B07QZRWJ6D,2019.0,256.0,huawei,6.15,amoled,2.2,4.0,0.74,159.0,1080.0,2312.0,1.0,1278.4444444444443,349.0,198.0
B07R1Y57YF,2019.0,256.0,huawei,6.67,lcd,2.2,4.0,0.74,159.0,1080.0,2340.0,3340.0,1278.4444444444443,349.0,199.99
B07RJ14MQY,2019.0,256.0,google,5.6,oled,2.0,4.0,0.7,147.0,1080.0,2220.0,5000.0,2.954545454545496,249.99,249.99
B07RMHCWLM,2024.0,64.0,panasonic,1.7999999999999998,lcd,0.7999999999999998,32.0,6.3,82.0,1080.0,2400.0,3600.0,312.10526315789474,29.900000000000006,28.99000000000001
B07RTBH7P8,2024.0,64.0,panasonic,1.7999999999999998,lcd,0.7000000000000002,32.0,2.57,254.42,1080.0,2400.0,800.0,1.05263157894737,39.900000000000006,25.99000000000001
B07VTMHTDF,2024.0,128.0,zte,5.0,lcd,0.5,32.0,1.0,250.0,1080.0,2400.0,800.0,40.90909090909091,42.0,38.400000000000006
B07VTP4ZQW,2024.0,128.0,zte,5.0,lcd,1.2999999999999998,1.0,11.130000000000003,143.0,1080.0,2400.0,3600.0,41.0344827586207,199.99,38.45000000000002
B07VYS2M9D,2024.0,256.0,samsung,6.3,amoled,2.8,12.0,0.79,198.0,2560.0,1440.0,5000.0,345.12820512820514,549.0,449.99
B07VZY57MP,2020.0,256.0,samsung,6.3,amoled,3.1000000000000005,8.0,0.79,168.0,1080.0,2340.0,3500.0,156.75,199.99,231.23
B07WDKKP6L,2024.0,128.0,vivo,6.56,lcd,2.3999999999999995,4.0,0.8399999999999999,185.0,1612.0,720.0,5000.0,1.4285714285714164,499.99,143.04
B07WGP3R5Z,2024.0,128.0,vivo,6.56,lcd,17.2,4.0,0.8399999999999999,185.0,1080.0,2400.0,5000.0,0.9756097560975547,112.94999999999999,112.95000000000002
B07WHQDKVP,2024.0,128.0,vivo,6.56,lcd,16.3,4.0,0.8399999999999999,185.0,1080.0,2400.0,5000.0,1.2195121951219505,379.99,119.0
B07XQBG9ND,2019.0,512.0,ttfone,2.8,lcd,25.8,4.0,2.0,128.0,1080.0,2400.0,1400.0,263.3333333333333,109.99000000000001,94.54999999999998
B07YWSKJRY,2019.0,128.0,xiaomi,6.2,lcd,1.8999999999999995,3.0,2.57,254.42,1920.0,1080.0,4500.0,194.66666666666663,199.99,74.70000000000002
B082L1XCFC,2019.0,256.0,samsung,6.3,amoled,3.1000000000000005,8.0,20.0,170.0,1440.0,3040.0,3500.0,13.235294117647072,199.99,215.0
B082MFY8SW,2024.0,64.0,oakcastle,1.7699999999999996,lcd,0.0,32.0,1.2,70.0,1080.0,2400.0,600.0,1534.1666666666667,199.99,19.94999999999999
B082TDHDCJ,2024.0,128.0,spc,2.8,lcd,0.0,1.0,1.9,108.0,320.0,240.0,800.0,45.0,199.99,49.99000000000001
B082WFVKL7,2020.0,256.0,samsung,6.5,superamoled,3.1000000000000005,4.0,0.79,172.0,1080.0,2400.0,4000.0,409.7674418604651,369.0,229.87
B08457V863,2024.0,128.0,panasonic,2.4,lcd,1.2000000000000002,1.0,2.3,110.0,320.0,240.0,500.0,112.6829268292683,69.9,53.43000000000001
B084XRF3MG,2024.0,128.0,sveon,2.4,lcd,0.9000000000000004,12.0,2.57,254.42,3840.0,2160.0,800.0,4.400000000000034,199.99,33.5
B084Z436NC,2024.0,64.0,garsent,1.7699999999999996,lcd,0.7999999999999998,8.0,7.0,120.0,1080.0,2400.0,800.0,2.3076923076923492,27.70999999999998,27.710000000000008
B085RBT8KW,2020.0,128.0,oukitel,6.3,oled,2.1000000000000014,6.0,1.73,370.0,1080.0,2400.0,5000.0,52.22222222222223,199.99,199.99
B0866BJTL9,2024.0,128.0,cocomm,6.56,lcd,32.3,4.0,2.0,200.0,1080.0,2400.0,5000.0,1.7948717948717956,89.99000000000001,89.98999999999998
B08778JXCT,2024.0,256.0,samsung,6.1,superamoled,2.8999999999999995,4.0,2.57,254.42,1080.0,2340.0,3500.0,194.39024390243904,299.0,198.99
B0892YG9QW,2024.0,256.0,huawei,6.15,lcd,2.2,6.0,0.74,660.0,1080.0,2400.0,3340.0,1278.4444444444443,199.99,199.0
B08CH6VKHW,2024.0,128.0,xiaomi,6.56,lcd,2.0,2.0,0.8999999999999999,194.0,720.0,1600.0,3600.0,1437.8947368421054,99.99000000000001,79.98999999999998
B08CH7RHDP,2024.0,128.0,xiaomi,6.53,lcd,2.0,2.0,0.8999999999999999,194.0,1600.0,720.0,3600.0,748.0,119.99000000000001,85.89000000000001
B08FXRH82S,2020.0,128.0,samsung,6.7,amoled,2.5,12.0,0.79,188.0,1440.0,3200.0,4500.0,3.5,369.99,369.99
B08HNWHVQK,2024.0,128.0,xiaomi,6.67,lcd,2.2,6.0,9.0,215.0,3840.0,2160.0,4820.0,1627.4999999999998,329.0,240.17
B08LS9T2Q6,2020.0,128.0,doogee,6.55,lcd,2.8999999999999995,4.0,0.8900000000000001,190.0,1080.0,2280.0,4500.0,52.195121951219505,199.99,174.21
B08MZP4JSG,2024.0,128.0,doogee,6.22,led,2.0,8.0,1.55,310.0,720.0,1520.0,5000.0,64.5,269.99,269.99
B08P7M64BJ,2024.0,512.0,ttfone,2.0,lcd,1.2000000000000002,4.0,1.2,99.0,1080.0,2400.0,1400.0,138.70967741935485,46.99000000000001,46.99000000000001
B08PCB8QCV,2024.0,256.0,apple,6.1,oled,2.5,8.0,0.74,189.0,1080.0,2400.0,4.0,1714.8648648648648,499.99,343.0
B08PCC2N1J,2012.0,256.0,apple,5.4,oled,3.1000000000000005,8.0,2.57,254.42,1080.0,2400.0,5000.0,1874.2857142857144,499.99,245.0
B08PCCM1GC,2024.0,256.0,apple,6.1,oled,2.5,8.0,2.57,254.42,1080.0,2400.0,5000.0,1714.8648648648648,499.99,329.99
B08PCCZB1H,2024.0,256.0,apple,6.1,oled,2.3999999999999995,8.0,2.82,190.0,1080.0,2400.0,4.0,3198.2857142857138,499.99,319.0
B08PCD77DV,2024.0,128.0,apple,5.4,amoled,3.1000000000000005,4.0,2.83,229.0,2340.0,1080.0,4.0,1874.2857142857144,255.0,255.0
B08PCDKD6G,2024.0,128.0,apple,5.4,oled,3.1000000000000005,4.0,0.74,135.0,1080.0,2400.0,5000.0,1874.2857142857144,499.99,245.0
B08PCDNC9W,2024.0,128.0,apple,5.4,oled,3.1000000000000005,4.0,0.74,135.0,2340.0,1080.0,5000.0,1874.2857142857144,499.99,245.0
B08PCDP3LM,2024.0,256.0,apple,6.1,oled,2.5,8.0,0.74,189.0,1080.0,2400.0,5000.0,1714.8648648648648,499.99,333.99
B08PCFF5QB,2024.0,256.0,apple,6.1,oled,2.3999999999999995,8.0,2.82,300.0,2532.0,1170.0,4.0,3198.2857142857138,317.99,317.99
B08PCFKLHM,2024.0,256.0,apple,5.4,oled,3.1000000000000005,8.0,2.57,254.42,1080.0,2400.0,5000.0,1874.2857142857144,499.99,248.0
B08PCFMXN4,2024.0,256.0,apple,6.1,oled,2.3999999999999995,8.0,2.57,254.42,1080.0,2400.0,5000.0,3198.2857142857138,499.99,323.99
B08QXG6Y6F,2024.0,128.0,samsung,6.2,amoled,2.8,8.0,2.0,301.0,2340.0,1080.0,4000.0,206.66666666666663,369.99,349.0
B0B1VCR3JY,2024.0,128.0,samsung,6.6,lcd,2.7,4.0,10.0,192.0,1080.0,2400.0,5000.0,1169.5454545454545,72.29000000000002,72.28999999999999
B0D5DDPDV7,2024.0,512.0,oppo,6.7,amoled,2.0,12.0,0.74,180.0,1080.0,2412.0,3600.0,22.32558139534885,499.99,521.85
B0B3MCW4YR,2024.0,128.0,blackview,6.58,amoled,2.2,8.0,1.77,367.0,1920.0,1080.0,8380.0,17.941176470588232,499.99,424.99
B0CVQ7DDS3,2024.0,128.0,samsung,6.67,amoled,1.0,8.0,2.57,254.42,1080.0,2340.0,5000.0,125.11111111111111,549.0,339.0
B0D383ZXKK,2024.0,512.0,xiaomi,6.67,amoled,3.0,12.0,2.57,254.42,1500.0,2560.0,5000.0,51.463414634146346,496.65,337.99
B0D1GD4SXB,2024.0,128.0,realme,11.02,lcd,13.8,6.0,11.420000000000002,400.0,1080.0,2400.0,5000.0,58.33333333333333,199.99,151.95
B0D2L33VQ8,2024.0,256.0,realme,6.78,amoled,2.3999999999999995,8.0,2.57,254.42,1080.0,2400.0,5500.0,108.4090909090909,199.99,313.22
B0DMW7WM42,2025.0,512.0,doogee,6.72,lcd,2.5,32.0,1.6,364.0,1080.0,2280.0,10100.0,16.38297872340425,469.99,369.99
B0B427JFKT,2024.0,128.0,doogee,6.0,lcd,2.0,4.0,2.57,254.42,1080.0,2400.0,4200.0,78.46153846153845,89.99000000000001,89.98999999999998
B0CG6M6J58,2023.0,64.0,ttfone,1.7999999999999998,lcd,0.0,32.0,0.8999999999999999,180.0,128.0,159.99999999999977,800.0,6.666666666666657,199.99,21.99000000000001
B0CMJKNCQH,2024.0,256.0,xiaomi,6.67,amoled,2.2,8.0,2.57,254.42,1080.0,2400.0,5000.0,209.7674418604651,229.9,229.9
B09VNPFZGS,2024.0,256.0,xiaomi,6.67,amoled,2.5,6.0,0.81,202.0,1080.0,2400.0,4500.0,63.863636363636346,340.41,245.49
B0C1FNRGXR,2024.0,256.0,fossibot,6.58,lcd,2.0,7.0,2.0,470.0,720.0,1440.0,10600.0,33.33333333333334,199.99,109.99
B0DN153LCY,2025.0,256.0,oukitel,6.56,lcd,2.8,24.0,2.57,254.42,720.0,1600.0,5150.0,12.040816326530603,199.99,169.99
B0D1FQ4J92,2024.0,128.0,blackview,4.3,lcd,2.0,12.0,2.57,254.42,1080.0,2400.0,3700.0,10.0,199.99,149.99
B0CGVP8NRC,2024.0,128.0,google,6.2,oled,2.5,12.0,0.8900000000000001,187.0,1080.0,2400.0,4575.0,634.0,199.99,474.4599999999999
B0D54D58Q4,2024.0,256.0,doogee,5.5,lcd,2.8,16.0,2.57,254.42,1440.0,720.0,6300.0,36.09756097560975,179.99,179.99
B0DHRZTPTQ,2024.0,256.0,oukitel,6.7,lcd,1.6000000000000005,24.0,2.57,254.42,720.0,1604.0,5000.0,0.9523809523809632,129.99,129.99
B0C4NG1QS6,2024.0,128.0,jtqtj,5.0,lcd,2.1000000000000014,1.0,2.57,254.42,1280.0,720.0,3000.0,78.33333333333333,499.99,56.99000000000001
B0D2DBNX7T,2024.0,256.0,xiaomi,6.79,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,73.80952380952381,199.99,199.9
B0CWS3RM89,2024.0,128.0,xiaomi,6.56,lcd,1.0,4.0,2.57,254.42,1920.0,1080.0,5000.0,19.0,87.88999999999999,82.0
B0CMRV3KWB,2024.0,128.0,xiaomi,6.74,lcd,19.3,6.0,2.57,254.42,1440.0,720.0,5000.0,188.0,136.24,106.97000000000001
B0CLL5GTDW,2018.0,64.0,fossibot,5.45,amoled,2.0,7.0,2.03,350.0,720.0,1440.0,10600.0,5.581395348837219,139.99,139.99
B0CXJDSJJ4,2024.0,64.0,xiaomi,5.0,lcd,4.7,3.0,2.57,254.42,1080.0,2400.0,5000.0,19.77272727272728,94.26999999999998,76.0
B0DHZ76JGF,2024.0,64.0,realme,6.74,lcd,1.7999999999999998,3.0,0.76,360.0,1080.0,2400.0,5000.0,8.974358974358978,82.99000000000001,79.98999999999998
B0BN67SBXK,2024.0,128.0,luqeeg,4.66,lcd,1.1000000000000005,1.0,2.57,254.42,1080.0,2400.0,3000.0,21.176470588235304,199.99,44.400000000000006
