product_id,precio_actual,precio_anterior,Potencia nominal de la bateria,Fabricante,Tipo de pantalla,Tecnologia de conectividad,Capacidad de la memoria flash instalada,Componentes incluidos,Numero de modelo del producto,Duracion media de la bateria,Dimensiones del producto,RAM,Frecuencia de actualizacion,Nombre del modelo,Composicion de la pila de la bateria,Numero de procesadores,Marca,Pilas / baterias incluidas,Fabricante del procesador,Resolucion del sensor optico,Resolucion de captura de video,Resolucion efectiva de video,Tipo de conector,Peso del producto,Proveedor de conexion inalambrica,Capacidad de la memoria RAM,Tipo de conexion inalambrica,Color,Tiempo de carga de la bateria (en horas),Tipo de conectividad,Peso de la bateria de litio,Caracteristicas especiales,Carga electrica de la bateria,Velocidad del procesador,Resolucion del escaner,Referencia del fabricante,Resolucion maxima,Conector de audio,Adaptador,Numero de productos,Ranuras de memoria disponibles,Pilas incluidas,Sistema operativo,Resolucion horizontal,Tiempo de carga,Grabador,Numero de producto,Formatos de audio compatibles,Tecnologia de pantalla,Resolucion de la camara web trasera,Resolucion de la camara web frontal,Contiene liquidos,Tipo de memoria del ordenador,Tamano de la pantalla,Ano del modelo,Software incluido,Capacidad de la memoria,OS,Tamano de pantalla,Pilas / baterias necesarias,Compatible con tecnologia Bluetooth,Entrada de interfaz humana,Enfoque automatico,Duracion media de la pila en stand-by,Tamano de la tarjeta de memoria incluida,Capacidad de la memoria RAM instalada,Otras caracteristicas,Tipo de procesador,Capacidad de almacenamiento digital,Transcriptor,Zoom digital,Pilas,Tamano,Fuente de alimentacion,Series,Memoria extraible,Maxima resolucion,Factor de forma,Hora de espera del telefono (con datos),Tecnologia GSM,Otras funciones de la camara,Relacion de aspecto,Modelo
B0DR8RHJ9T,"99,.99 ","159,99",5000.0,OSCAL,LCD,,6 GB,"Cable tipo C * 1, Manual del usuario * 1, OSCAL Flat 1C Telefono Movil * 1, No incluye la tarjeta SIM., Adaptadores telefonicos espanoles * 1",OSCAL FLAT 2C Handy,,,,,,Polimero de Litio,,OSCAL,Si,,,,,,430 g,,,,,,,,,,,,,,,,5,,,Android 14,,,,OPDE-FLAT2C-BLACK2501,,,,,,,"6,56 Pulgadas",2025,"Navegador Google chrome, Tienda de juegos, Mapas, Relojes, Calendarios",64 GB,,,Si,,"Pantalla Tactil, Microfono, Botones",,,,,"Smartphone 4G, telefono movil, Telefono basico, Moviles, moviles baratos y buenos",,2000 GB,,,"1 Polimero de litio necesaria(s), incluida(s)",,,,Micro SD,,,,,,2.20:1,OSCAL FLAT 2C Handy
B0DN5YTHZ9,"149,.99 ","139,99",,Ulefone,LCD,,,Note 18 Pro Smartphone*1,Ulefone Note 18 Pro,,"16,88 x 7,68 x 0,88 cm; 350 g",,,Ulefone Note 18 Pro,Polimero de Litio,,Ulefone,Si,,,,,,350 g,,,,,,,,,5450 Miliamperios hora (mAh),,,,,,,1,,,Android 14,,,,,,,,,,,"6,78 Pulgadas",2024,,2048 GB,,,Si,,,,,,12 GB,,,256 GB,,,"2 Polimero de litio necesaria(s), incluida(s)",,,,,,Barra,,4G,,,Ulefone Note 18 Pro
B0D4R89TZV,"209,.49 ","218,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0DFPZXW3P,"79,.99 ","99,99",4300 Miliamperios hora (mAh),OUKITEL,LCD,,64 GB,,OUKITEL C53,,,,,OUKITEL C53,Polimero de Litio,,OUKITEL,Si,,13 MP,720p,,"Bluetooth, USB, Wifi",450 g,,,,,,,,,,,720 x 1600,,,,,,1,,Android 14,,,,C53,,,,,,,"6,6 Pulgadas",2024,,64 GB,,,Si,,,,,,8 GB,"Nuevo Android 14 & Octa-Core Processor, Bateria de 4300mAh, 6,6"" HD+ Pantalla, 8GB RAM+64GB ROM, Camara de 13MP+5MP",,64 GB,,,"1 Polimero de litio necesaria(s), incluida(s)",,,,,,Smartphone,,4G,,,OUKITEL C53
B0DBLX4FTT,"106,.24 ","124,99",5000 Miliamperios hora (mAh),UMIDIGI,LCD,,128 GB,"Eyector de bandeja SIM, Cable USB, Funda del telefono",G9T,,"16,7 x 7,7 x 0,79 cm; 189 g",,90 Hz,G9T,Polimero de Litio,,UMIDIGI,Si,,13 MP,1080p,1080 Pixeles,"Bluetooth, USB, Wifi",189 g,,,,,,,,,5E+3 Miliamperios hora (mAh),"1,6 GHz",1600 x 720,,720x1600,,,1,,,Android 14,,,,G9T,,,,,No,,"6,75 Pulgadas",2024,,128 GB,,,Si,,Pantalla Tactil,,,,4 GB,"Funcion punto de conexion wifi, Dual SIM, Compatible con cargadores rapidos, Compatible con USB OTG, GPS integrado",,1024 GB,,,"1 A necesaria(s), incluida(s)",,,,,,Smartphone,,4G,,16:9,G9T
B0B1VCR3JY,"5,.65 ","149,99",5000 Miliamperios hora (mAh),,,"Bluetooth, USB, Wifi",,,SM-M135F,,10 x 12 x 13 cm; 192 g,64 GB,,,,,,,,,,,,192 g,,,,Verde,,,,camera,,,,,,,,,,,,,,,,,,,,,,,,,,Android 12.0,,,,Panel tactil,,,,,,,,,,"1 Polimero de litio necesaria(s), incluida(s)",Modelo con pantalla tactil,,,,,,,,Trasera,,
B0D8TFQZRD,"119,.99 ",No disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0DHHH14QT,"150,.17 ","179,90",5160 Miliamperios hora (mAh),Xiaomi,LCD,,6 GB,Eyector de bandeja SIM,redmi 14c,,"8,2 x 77 x 171,9 cm; 500 g",,,Redmi 14C,Litio Ion,,Xiaomi,No,Mediatek Helio G81 Ultra,,3840 x 2160 (4K),,"2G, 3G, 4G, 5G",500 g,,,,,,,,,,2 GHz,1920 x 1080,,1080p Full HD,,,1,,,Android,,,,Redmi 14C,,,,,,,"6,88 Centimetros",2024,,8 GB,,,No,,Pantalla Tactil,,,,8 GB,Camara Quad,,256 GB,,,1 Litio Ion (Tipo de pila necesaria),,,,,,Deslizador,,4G,,,redmi 14c
B0DHRTYLC7,"109,.99 ","129,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0DCBZP92Z,"195,.00 ",No disponible,5000 Miliamperios hora (mAh),,,,,,,,"16,3 x 7,57 x 0,77 cm; 530 g",,,,,,,,,,,,,530 g,,,,GREY,,,,"Internet, camera",,,,,,,,,,,,,,,,,AMOLED,,,,,,,,,Android 14,,,,Pantalla Tactil,,,,,,,,,,"1 Litio Ion necesaria(s), incluida(s)",Barra,,,,,,,,,,
