_id,Potencia nominal de la bateria,precio_actual,precio_anterior,Capacidad de almacenamiento digital,Marca,Sistema operativo,Tamano de la pantalla,Tipo de pantalla,Ano del modelo,Memoria RAM,Altura (cm),Anchura (cm),Profundidad (cm),Peso (g)
B0CCW32ZH2,5000.0,230.0,399.0,,,,,oled,,12.0,16.0,7.2,0.8,170.0
B0DRD2J39F,5500.0,159.34,167.37,,xiaomi,android 12.0,6.67,amoled,,6.0,16.33,7.66,0.82,200.0
B0D2L42BX9,5500.0,378.9,549.99,,,,,,,8.0,,,,
B0DKT15QW9,5150.0,99.99,999.99,,oukitel,android 14 smartphone,6.67,lcd,2025.0,16.0,16.68,7.75,0.87,199.0
B0D5DF24YP,3600.0,292.19,499.99,,,,,amoled,,,16.14,7.41,0.75,178.0
B0DBZJWRFY,10100.0,369.99,379.99,,doogee,android 14,6.72,lcd,2024.0,20.0,,,,
B0DH24HBNF,900.0,49.99,499.99,,joyzap,android 9.0,3.0,lcd,2024.0,2.0,9.02,4.75,1.26,137.0
B0CTHYFRHH,5000.0,245.73,245.73,,,,,,,8.0,,,,
B0DJD3S5GQ,6000.0,798.9,999.99,,,,,,,,,,,
B0DL4831YZ,18.0,107.98,122.44,,xiaomi,android 14,6.88,lcd,2024.0,8.0,17.19,7.78,0.82,200.0
B0D5292XN3,33.0,141.75,182.0,,,,,lcd,,8.0,,,,
B0DBQVF8DR,6000.0,139.0,1299.0,,vivo,"funtouch os 14, android 14",6.68,lcd,2024.0,4.0,16.57,7.6,0.8,390.0
B0CQYMCG9R,5000.0,200.86,200.86,,,,,amoled,,12.0,16.11,7.49,0.8,179.0
B0DPXN3YHT,4900.0,1159.0,1199.0,,,,,,,,,,,
B0CPXX34K2,5000.0,260.0,329.3,,xiaomi,android 10.0,6.67,amoled,2024.0,12.0,15.0,12.0,1.0,500.0
B0D5HDXPP6,5150.0,189.99,149.99,,oukitel,telefono movil android 14,6.8,lcd,2024.0,24.0,,,,
B0DFGTKDH4,5100.0,144.0,149.0,,,,,lcd,,,16.57,7.6,0.77,200.0
B0DR8LQPJT,5150.0,119.99,239.99,256.0,doogee,android 14,6.56,lcd,2024.0,6.0,16.38,7.58,0.86,186.0
B08QXG6Y6F,4000.0,349.0,369.99,,,,,amoled,,8.0,16.0,4.0,2.0,301.0
B0D8QQ895Q,6000.0,169.0,569.99,,vivo,"funtouch os 14, android 14",6.68,lcd,2024.0,8.0,16.57,7.6,0.8,380.0
B0D9BKY2K8,5150.0,199.99,209.99,256.0,doogee,android 14,6.56,lcd,2024.0,16.0,,,,
B0D83FB1PX,5000.0,430.0,523.33,,xiaomi,android,6.67,amoled,2024.0,12.0,16.1,8.0,7.5,500.0
B0D5YN35XL,5150.0,149.99,209.99,256.0,doogee,android 14,6.56,lcd,2024.0,16.0,17.27,8.0,1.07,240.0
B0DJVSDCYB,15000.0,209.99,,256.0,blackview,android 14,6.67,lcd,2025.0,18.0,,,,
B082TDHDCJ,800.0,49.99,569.99,,,,,,,,10.9,5.8,1.9,108.0
B0DPXMMZ84,5000.0,1819.0,1199.0,,,,,,,,,,,
B09QH3JT6P,5000.0,283.0,449.0,,,,,superamoled,,6.0,15.95,7.47,0.81,190.0
B0DPXMWQ7R,4900.0,1279.0,999.99,,,,,,,,,,,
B0CR1F2812,5000.0,191.0,216.94,,,,,amoled,,12.0,17.7,9.0,6.0,500.0
B0D6W5ZX8P,5.0,249.0,249.0,256.0,oppo,android,6.7,oled,2024.0,8.0,16.16,7.47,0.75,434.0
B0CPT9XDS7,5000.0,155.0,159.0,,,,,amoled,,8.0,16.22,7.55,0.8,188.5
B0DBLX4FTT,5000.0,106.24,124.99,1024.0,umidigi,android 14,6.75,lcd,2024.0,4.0,16.7,7.7,0.79,189.0
B0DNN24TM3,10300.0,199.99,279.99,,doogee,android 14,6.56,lcd,2023.0,20.0,17.4,8.12,1.58,326.0
B0CJ9QRVT7,5000.0,149.99,,,,,,,,6.0,,,,
B0CFTZLRJK,5150.0,119.99,999.99,,oukitel,android 14,6.56,lcd,2023.0,12.0,16.37,7.54,0.92,199.0
B0DD7QC4ZS,15500.0,229.99,289.99,256.0,doogee,android 14,6.56,lcd,2024.0,20.0,28.0,20.0,6.0,269.0
B0DCS7M6DQ,6300.0,109.99,129.99,,oukitel,android 14 movil resistente,6.0,lcd,2024.0,16.0,16.6,8.11,1.5,290.0
B0CMRZJ2R8,5000.0,108.9,127.0,,,,,,,12.0,20.0,15.0,14.0,190.0
B0D95YDCV9,,139.99,999.99,,oukitel,android 14,6.52,lcd,2023.0,,,,,
B08HN9BRH6,4500.0,299.0,759.0,,,,,amoled,,6.0,15.98,7.45,0.84,193.0
B0CPLLJ367,5200.0,225.0,999.99,,honor,android 13.0,6.78,amoled,2024.0,8.0,,,,
B0DNN167DQ,5500.0,419.99,199.99,,doogee,android 14,6.72,oled,2025.0,32.0,17.85,8.35,1.05,242.0
B0D8L91CJT,10600.0,159.99,,128.0,oukitel,android 14,6.52,lcd,2024.0,16.0,17.42,8.23,1.74,370.0
B0DPXMJNV7,4000.0,969.0,149.99,,,,,,,,,,,
B0DG2YDL7Y,5100.0,123.49,159.99,,cubot,android 14 moviles,6.56,lcd,2024.0,16.0,17.26,8.12,1.28,268.0
B0DS21LP9Q,5110.0,358.38,,,xiaomi,xiaomi hyperos,6.67,amoled,2025.0,12.0,,,,
B0CN137WV2,,112.6,115.98,,,,,,,,17.0,8.0,3.0,195.0
B09QH71RZR,5000.0,127.0,165.39,,,,,amoled,,4.0,15.98,7.38,0.81,179.0
B0CY8D7L7F,5000.0,247.0,999.99,,,,,,,6.0,17.0,9.0,3.0,320.0
B0D63142NK,6500.0,179.9,149.99,,,,,,,,,,,
B0DH2437SY,5000.0,93.15,123.39,,xiaomi,android 14,6.88,lcd,2024.0,4.0,,,,
B0D5R7K46S,5000.0,499.99,649.0,,,,,amoled,,12.0,,,,
B0DRCZ7YL2,5500.0,183.0,189.0,,xiaomi,android 12.0,6.67,amoled,2025.0,8.0,,,,
B0CR1DP99L,5000.0,199.0,313.61,,,,,amoled,,12.0,17.7,9.0,6.0,520.0
B0CTHX8WYP,6000.0,129.0,499.99,,motorola,android 14,6.6,lcd,2024.0,6.0,16.35,7.45,0.9,410.0
B0DJ33DQC2,,417.0,485.76,,xiaomi,android,6.67,amoled,,12.0,,,,
B0DK3KZY9C,5000.0,79.99,89.99,,ulefone,android 14 go,6.56,lcd,2024.0,6.0,16.32,7.52,0.87,490.0
B0D9LNR55Z,5150.0,89.99,569.99,128.0,doogee,android 14,6.56,lcd,2024.0,9.0,,,,
B0D8134JH8,6000.0,211.0,230.51,,samsung,android,6.6,amoled,2024.0,6.0,16.2,7.9,0.9,222.0
B0CW363ZFV,4600.0,269.0,999.99,,vivo,android 13.0,6.78,amoled,2023.0,8.0,16.4,7.44,0.74,30.0
B0CNTQGNNM,10800.0,179.99,379.99,,doogee,android 13.0,6.56,lcd,,,,,,
B0B1PTV7ST,3300.0,99.99,499.99,,,,,,,3.0,15.53,7.34,0.85,153.0
B0DKFNHRVQ,5000.0,199.99,499.99,,oscal,android 14,6.56,lcd,2024.0,8.0,16.48,7.56,0.87,193.0
B0CR3YMJWG,5000.0,231.53,1299.0,,,,,amoled,,8.0,18.0,9.0,6.0,190.0
B0DRCX34LQ,5500.0,178.75,149.99,,xiaomi,android 12.0,6.67,amoled,2025.0,8.0,,,,
B0CXJDSJJ4,,76.0,94.27,,xiaomi,android,,,,3.0,,,,
