epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3599,1.26117,3.84004,1.22321,0.00056,0.16667,0.00049,0.0002,4.38517,6.04743,3.82755,0.09604,4e-05,4e-05
2,43.2801,0.95616,2.81831,0.97437,0,0,0,0,3.74649,6.72211,3.28455,0.0910891,8.9109e-05,8.9109e-05
3,58.8236,1.19411,2.12757,1.00625,0.00222,0.66667,0.05972,0.01188,2.50397,4.2161,2.22181,0.0861372,0.000137228,0.000137228
4,74.6827,1.13656,1.54669,1.02928,0.00222,0.66667,0.09096,0.04576,1.97507,3.70774,1.71427,0.0811844,0.000184357,0.000184357
5,90.4875,1.08633,1.51781,1.03708,0.00333,1,0.37129,0.22352,1.25499,3.56023,1.17482,0.0762305,0.000230496,0.000230496
6,106.26,1.042,1.21783,1.00486,0.0186,0.66667,0.66813,0.5345,0.8806,3.5636,0.99687,0.0712756,0.000275645,0.000275645
7,122.081,1.07717,1.09221,1.00617,1,0.83333,0.9166,0.62553,0.84607,3.64522,0.92502,0.0663198,0.000319804,0.000319804
8,137.783,1.00433,1.06421,0.98754,1,1,0.995,0.69978,0.70899,3.65403,0.87703,0.061363,0.000362973,0.000362973
9,155.278,0.96816,0.9024,0.99299,1,0.5,0.75,0.66089,0.70489,3.69822,0.85521,0.0564052,0.000405152,0.000405152
10,178.986,1.01142,0.89513,1.01444,1,0.33333,0.66665,0.57074,0.64786,3.77368,0.84345,0.0514463,0.000446341,0.000446341
11,202.192,1.05642,0.89572,0.96599,1,0.33333,0.66665,0.6374,0.58349,3.83095,0.81992,0.0464865,0.00048654,0.00048654
12,234.477,0.98919,0.92159,0.97914,0.8,0.66667,0.79964,0.64058,0.65211,3.67247,0.8271,0.0415257,0.000525749,0.000525749
13,261.295,1.10689,0.95169,1.02673,0.85714,1,0.94786,0.7617,0.80617,3.39038,0.84695,0.036564,0.000563968,0.000563968
14,290.214,0.93949,0.81779,0.97286,0.75,1,0.995,0.89808,0.6365,2.74148,0.80708,0.0316012,0.000601197,0.000601197
15,315.42,1.03145,0.87981,1.02389,1,1,0.995,0.89869,0.61434,2.28962,0.81002,0.0266374,0.000637436,0.000637436
16,337.06,0.98295,0.82836,0.97701,1,1,0.995,0.85337,0.62531,2.05671,0.83087,0.0216727,0.000672685,0.000672685
17,360.097,0.87982,0.72688,0.92595,0.89506,1,0.995,0.87023,0.54718,1.73666,0.81002,0.0167069,0.000706944,0.000706944
18,383.432,0.94348,0.81027,0.98087,0.93792,1,0.995,0.89088,0.58014,1.53521,0.82056,0.0117402,0.000740213,0.000740213
19,406.26,0.84388,0.69894,0.96835,0.94108,1,0.995,0.86911,0.56844,1.44659,0.82941,0.00677249,0.000772492,0.000772492
20,429.497,0.87131,0.76306,0.98357,0.95518,1,0.995,0.8255,0.70298,1.41716,0.86566,0.00180378,0.000803781,0.000803781
21,451.117,0.86818,0.74703,0.93223,0.95495,1,0.995,0.8126,0.72564,1.35073,0.8653,0.000802,0.000802,0.000802
22,472.969,1.01302,0.77664,0.98498,0.96555,1,0.995,0.81139,0.76921,1.225,0.87103,0.0007921,0.0007921,0.0007921
23,496.499,0.94352,0.71047,0.95315,0.96941,1,0.995,0.80104,0.74534,1.08197,0.83856,0.0007822,0.0007822,0.0007822
24,517.961,0.84673,0.68125,0.9565,0.9833,1,0.995,0.76867,0.82261,0.82642,0.84785,0.0007723,0.0007723,0.0007723
25,539.961,0.91187,0.73926,0.95999,0.98615,1,0.995,0.82527,0.77688,0.73331,0.83782,0.0007624,0.0007624,0.0007624
