epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1186,1.60563,4.72452,1.64006,0,0,0,0,0.81621,4.0158,1.02675,8e-05,8e-05,8e-05
2,47.6841,1.11633,3.85037,1.12133,0.00333,1,0.639,0.46497,0.89534,3.826,0.79848,0.000176436,0.000176436,0.000176436
3,68.8328,1.0701,3.08789,1.02093,0.00333,1,0.94167,0.71167,0.7581,3.64779,0.77749,0.000268912,0.000268912,0.000268912
4,89.6885,1.21224,2.40171,1.09824,0.00333,1,0.97214,0.75132,0.8883,3.76506,0.8513,0.000357428,0.000357428,0.000357428
5,110.617,1.098,2.48671,1.06876,1,0.82465,0.955,0.62955,0.97688,3.48236,0.781,0.000441984,0.000441984,0.000441984
6,132.364,0.98834,1.88957,0.97075,1,0.32002,0.995,0.75308,0.77173,3.43128,0.75867,0.00052258,0.00052258,0.00052258
7,154.507,1.00737,1.75172,0.97871,1,0.809,0.97214,0.59491,0.95796,3.46105,0.87973,0.000599216,0.000599216,0.000599216
8,174.901,1.01921,1.87495,0.98402,0.00333,1,0.995,0.70406,0.67913,3.43527,0.76158,0.000671892,0.000671892,0.000671892
9,195.407,1.03057,1.74433,0.97999,0.00621,1,0.97214,0.62008,0.96747,3.70401,0.90863,0.000740608,0.000740608,0.000740608
10,217.031,1.10699,1.74977,1.01097,1,0.75728,0.995,0.70563,0.85314,3.58679,0.82157,0.000805364,0.000805364,0.000805364
11,237.417,1.08847,1.79883,0.97016,0.10594,1,0.995,0.7726,0.77802,3.57597,0.77554,0.00086616,0.00086616,0.00086616
12,258.371,0.97984,1.79117,0.98171,0.79926,0.66421,0.92357,0.51383,0.82605,3.27405,0.86377,0.000922996,0.000922996,0.000922996
13,278.858,1.06712,1.74755,1.03248,0.56316,0.43861,0.75024,0.52479,0.7633,3.25237,0.86774,0.000975872,0.000975872,0.000975872
14,300.445,0.87853,1.4904,0.96353,1,0.78859,0.995,0.78006,0.78067,2.88373,0.8747,0.00102479,0.00102479,0.00102479
15,321.315,0.96699,1.55091,1.02799,1,0.99993,0.995,0.77517,0.83078,2.58693,0.85833,0.00106974,0.00106974,0.00106974
16,343.005,1.0007,1.37664,1.00164,0.95869,1,0.995,0.84924,0.8116,2.62703,0.88517,0.00111074,0.00111074,0.00111074
17,365.245,0.90139,1.52392,0.93656,0.97313,1,0.995,0.85807,0.85262,2.49974,0.92665,0.00114778,0.00114778,0.00114778
18,387.426,0.92396,1.60568,0.98507,0.97543,1,0.995,0.72775,0.99445,2.57257,0.94814,0.00118085,0.00118085,0.00118085
19,407.815,0.89945,1.4163,0.98588,0.96788,1,0.995,0.81279,0.757,2.43828,0.8669,0.00120997,0.00120997,0.00120997
20,428.334,0.93195,1.43945,0.97162,0.97958,1,0.995,0.74151,0.85763,2.24183,0.9245,0.00123512,0.00123512,0.00123512
21,448.687,0.97067,1.3506,0.98123,0.83818,1,0.94786,0.78723,0.6656,1.92266,0.87099,0.001208,0.001208,0.001208
22,469.252,0.91151,1.30107,0.95624,0.8395,1,0.94786,0.74692,0.81094,1.90048,0.8441,0.0011684,0.0011684,0.0011684
23,490.911,0.87674,1.17177,0.94784,0.82768,1,0.94786,0.74969,0.75573,1.89613,0.84505,0.0011288,0.0011288,0.0011288
